iter	RMSE
0	2235.687593
1	2157.487228
2	2082.746994
3	2012.586811
4	1944.715707
5	1878.018717
6	1818.457769
7	1757.536661
8	1705.816685
9	1651.721323
10	1599.558803
11	1550.004936
12	1501.35951
13	1454.883593
14	1411.032652
15	1366.953373
16	1327.604916
17	1287.238174
18	1249.884798
19	1215.2375
20	1181.42316
21	1147.041331
22	1114.910994
23	1085.0063
24	1056.075549
25	1031.640794
26	1005.023063
27	979.1907636
28	955.5488832
29	932.8378143
30	912.3072353
31	891.2658379
32	872.2858595
33	853.5212822
34	835.0124806
35	816.678262
36	799.9853367
37	784.8219573
38	769.174039
39	754.9087102
40	740.6655509
41	728.3518139
42	716.8842114
43	703.1428077
44	691.1787046
45	678.2863844
46	667.709564
47	654.1414489
48	643.2751973
49	634.2168507
50	624.6059885
51	613.3754111
52	604.9386936
53	596.8316736
54	588.5547882
55	581.2637174
56	575.0605397
57	567.7214676
58	560.2974931
59	554.1611049
60	549.9073207
61	545.8271862
62	538.7891838
63	533.5057402
64	527.591728
65	522.0747646
66	515.6629135
67	510.428719
68	506.9079457
69	503.2460207
70	499.3267284
71	495.3800478
72	490.3412571
73	485.1892109
74	479.1206526
75	474.4797764
76	469.8420835
77	465.9845216
78	461.0863471
79	456.8963311
80	453.4033732
81	449.6931466
82	445.2785695
83	441.4017925
84	438.849511
85	436.0295909
86	432.2407831
87	427.1080863
88	424.573648
89	420.7553426
90	419.2315512
91	416.0073437
92	411.7252624
93	407.6775419
94	404.1931066
95	401.8904842
96	398.4324461
97	395.6629332
98	392.2188772
99	389.2826492
100	386.9411706
101	385.7384605
102	383.8116577
103	381.8056639
104	379.3736679
105	376.829733
106	374.9570656
107	370.2285252
108	369.1265528
109	366.3429296
110	365.133327
111	363.9187192
112	361.5983566
113	359.6981206
114	356.2720719
115	353.9980033
116	352.8213202
117	352.2185789
118	349.0941524
119	347.5492736
120	345.7226773
121	344.009644
122	342.4381352
123	341.1290211
124	339.6279023
125	336.0074005
126	334.2276628
127	332.4448992
128	330.6939131
129	329.4220962
130	326.4580365
131	325.1548904
132	324.210803
133	323.2822125
134	321.7944939
135	320.0610586
136	318.1394627
137	316.9457534
138	315.6171895
139	314.1280987
140	312.5359207
141	311.1649577
142	309.635294
143	308.2828271
144	306.9546362
145	305.7615629
146	303.3674899
147	302.3974471
148	302.0143535
149	300.9142906
150	299.9190906
151	298.9542387
152	297.9024078
153	297.0166727
154	296.3776206
155	295.0685704
156	294.5875198
157	293.4943699
158	292.2043316
159	290.7596469
160	290.0139588
161	288.9994335
162	287.3838604
163	286.9296965
164	285.6227433
165	284.5763248
166	283.3130208
167	282.7862913
168	281.7008678
169	280.4425158
170	279.8077584
171	279.0672709
172	278.1319311
173	276.9431589
174	275.8317299
175	274.9872545
176	273.8047193
177	272.9192577
178	272.4344183
179	271.6661191
180	270.6729164
181	270.4576254
182	269.5949939
183	269.0572923
184	268.650742
185	267.0643289
186	266.1087804
187	265.4223597
188	264.8585476
189	264.1312128
190	263.4477599
191	262.6072865
192	261.8234038
193	260.9239784
194	260.1556814
195	259.5701914
196	258.9572883
197	258.041478
198	257.128191
199	256.8977463
200	256.0489771
201	254.9156188
202	254.3614141
203	253.5571898
204	252.5610555
205	252.2125283
206	251.5236506
207	250.1032896
208	248.9679919
209	248.3120827
210	247.9442316
211	246.984769
212	246.0552952
213	245.2629065
214	244.6615449
215	244.0738882
216	243.2114428
217	242.2254861
218	241.4165236
219	240.2325305
220	239.6749892
221	238.8364525
222	237.9465438
223	237.2488828
224	236.834343
225	235.9560841
226	234.98006
227	233.9213743
228	233.3099033
229	232.7909496
230	232.2750386
231	231.2721115
232	230.5465457
233	229.9166263
234	229.4454448
235	228.8128963
236	228.0567201
237	227.1723504
238	226.5452294
239	225.3354522
240	224.7427316
241	224.5312977
242	223.4269303
243	223.1926277
244	223.0007874
245	222.3024915
246	221.7649489
247	221.3320219
248	220.8324443
249	220.3224875
250	219.2719854
251	218.0778586
252	217.6081769
253	217.1931747
254	216.9711055
255	216.5050527
256	215.500782
257	214.6953828
258	214.2366994
259	213.4091416
260	213.0346192
261	212.4928679
262	211.9733036
263	211.5137072
264	210.8612029
265	210.4353719
266	210.3119397
267	209.6391169
268	209.5513534
269	208.878982
270	208.5303463
271	208.1558917
272	207.8309062
273	207.758042
274	207.1582998
275	206.7389051
276	206.7154489
277	206.2672431
278	206.0907159
279	205.4125439
280	205.2814072
281	204.7433392
282	204.4327738
283	203.9443953
284	203.8530349
285	203.772358
286	202.8146066
287	202.7556817
288	201.9694003
289	201.5202592
290	201.1274432
291	200.653048
292	200.5783766
293	200.4968772
294	200.004262
295	199.9845646
296	199.6149541
297	198.9027846
298	198.5930284
299	198.4835509
300	197.7871684
301	196.6819741
302	196.6486417
303	196.2804625
304	196.2272886
305	195.6578942
306	195.5830604
307	195.5183528
308	195.4449195
309	195.3669695
310	194.5566896
311	194.4837913
312	193.9936401
313	193.2243739
314	193.1239814
315	192.8395451
316	192.4196222
317	191.9309467
318	191.8659291
319	191.7997889
320	191.2651729
321	191.1890427
322	190.8910298
323	190.7133354
324	190.2721073
325	189.9476223
326	189.8833441
327	189.3654363
328	188.6490015
329	188.115909
330	187.9695194
331	187.3109051
332	187.2549772
333	187.2023953
334	186.8221171
335	186.4611942
336	185.8385818
337	185.2563367
338	184.8780686
339	184.7724867
340	184.7230373
341	184.4162821
342	184.2767058
343	183.7513473
344	183.5717992
345	183.1860628
346	182.8438749
347	182.50159
348	182.4048893
349	181.9993809
350	181.6378337
351	181.2107356
352	180.8729046
353	180.3984887
354	180.3389956
355	180.2813454
356	179.9198383
357	179.6327144
358	179.3232208
359	179.2077153
360	178.9013125
361	178.583805
362	178.194962
363	177.6351124
364	177.2576094
365	177.2468784
366	177.1964705
367	176.7441752
368	176.2087343
369	176.0274654
370	175.6826792
371	175.0949281
372	174.703964
373	174.2822757
374	173.8612765
375	173.6258338
376	173.2559874
377	172.8622275
378	172.3592443
379	172.2942841
380	172.0108534
381	171.5222036
382	171.226772
383	171.1710491
384	170.766254
385	170.6488132
386	170.5961419
387	170.5365158
388	170.2563064
389	169.7897714
390	169.6790755
391	169.4235491
392	169.2613412
393	169.1555097
394	169.107337
395	168.5453178
396	168.4981942
397	168.2370992
398	167.9051206
399	167.5412276
400	167.0402805
401	166.576943
402	166.177078
403	166.1299382
404	165.6261666
405	164.8524344
406	164.5291092
407	164.3421992
408	163.7554561
409	163.0997948
410	163.0500394
411	162.5762325
412	162.5291675
413	161.9966379
414	161.6461462
415	161.3101997
416	160.9106
417	160.8644738
418	160.6500117
419	160.1033726
420	160.0432363
421	159.8148683
422	159.4525654
423	158.9821719
424	158.7043667
425	158.5085702
426	158.2750525
427	157.8741924
428	157.697763
429	157.3391266
430	156.8274416
431	156.3744596
432	155.8474058
433	155.6147235
434	155.5700545
435	155.1075267
436	154.698845
437	154.4259877
438	154.3578144
439	153.9946658
440	153.6850687
441	153.3056577
442	153.1216173
443	152.9968068
444	152.8378938
445	152.79445
446	152.3271807
447	152.0321386
448	151.8547229
449	151.5573776
450	151.34171
451	151.0434614
452	150.8014925
453	150.3403084
454	150.1766174
455	149.9889111
456	149.9237614
457	149.7092209
458	149.4364551
459	149.1900618
460	148.8410086
461	148.7567791
462	148.5126464
463	148.2561227
464	148.095112
465	147.7424272
466	147.6795045
467	147.5477471
468	147.1250267
469	146.9146481
470	146.4488534
471	146.3884084
472	146.0461498
473	145.6960502
474	145.3647822
475	145.1519696
476	145.0974412
477	144.7959756
478	144.7134635
479	144.2722684
480	144.0084122
481	143.945297
482	143.8674282
483	143.5760011
484	143.4196192
485	143.0881333
486	142.9085333
487	142.6784371
488	142.405781
489	141.9586122
490	141.6751021
491	141.5632793
492	141.4073667
493	141.3475403
494	140.8495762
495	140.8107474
496	140.5213153
497	140.331773
498	140.0602349
499	139.7438814
500	139.4395891
501	139.1286634
502	139.0696158
503	138.6991654
504	138.5733935
505	138.3140236
506	138.2411791
507	138.0056973
508	137.6635606
509	137.4066472
510	137.2769838
511	136.897521
512	136.8601249
513	136.689794
514	136.4458867
515	136.3242927
516	135.9262816
517	135.5129812
518	135.4737542
519	135.2692374
520	134.9885767
521	134.7952833
522	134.6601559
523	134.6216433
524	134.4972375
